product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,cosmetic.inci,identifiers.gtin,origin.country,pack.net_quantity,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.DETAIL,example_note
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Ingredients (INCI),GTIN,Country of origin,Net quantity,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - detail,What this row demonstrates
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to hpc.cleaning.bleach only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; safety - a person reviews any change; order is part of the value; do not sort; applies to hpc.cosmetics.haircare, hpc.cosmetics.skincare, hpc.toiletries.oralcare, hpc.toiletries.shampoo, and 1 more only; one entry per cell, separated by '|'","required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant",optional,optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,ignored on the way in; delete the column or leave it
PRD-108,Ashcombe Antibacterial Surface Spray 750 ml,HPC-108-A,Ashcombe Antibacterial Surface Spray 750 ml,true,hpc.cleaning.surface,made-in-britain,,true,,5000000000060,United Kingdom,980.0,g,,,hpc-108-a-detail.svg,
PRD-108,Ashcombe Antibacterial Surface Spray 750 ml,HPC-108-B,Ashcombe Antibacterial Surface Spray 750 ml Multipack,false,hpc.cleaning.surface,,,true,,5000000000067,Turkey,480.0,g,,hpc-108-b-pack_front.svg,hpc-108-b-detail.svg,
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-A,Ashcombe Washing Up Liquid Lemon 900 ml,true,hpc.cleaning.dishwashing,made-in-britain,,true,,5000000000284,United Kingdom,1050.0,g,50%,hpc-140-a-pack_front.svg,hpc-140-a-detail.svg,
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-B,Ashcombe Washing Up Liquid Lemon 900 ml Multipack,false,hpc.cleaning.dishwashing,,,true,,5000000000291,Turkey,290.0,g,,hpc-140-b-pack_front.svg,hpc-140-b-detail.svg,
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-C,Ashcombe Washing Up Liquid Lemon 900 ml Large Pack,false,hpc.cleaning.dishwashing,,,true,,5000000000298,Italy,800.0,ml,85,hpc-140-c-pack_front.svg,hpc-140-c-detail.svg,
PRD-156,Ashcombe Bio Laundry Liquid 38 Wash,HPC-156-A,Ashcombe Bio Laundry Liquid 38 Wash,true,hpc.laundry.detergent,,,true,,5000000000396,Poland,840.0,g,,hpc-156-a-pack_front.svg,hpc-156-a-detail.svg,
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-A-EG1,Ashcombe Washing Up Liquid Lemon 900 ml,true,hpc.cleaning.dishwashing,made-in-britain,,true,,,United Kingdom,1050.0,g,50%,hpc-140-a-pack_front.svg,hpc-140-a-detail.svg,"MISSING_MANDATORY - identifiers.gtin is blank, and a channel refuses the listing without it"
PRD-156,Ashcombe Bio Laundry Liquid 38 Wash,HPC-156-A-EG2,Ashcombe Bio Laundry Liquid 38 Wash,true,hpc.laundry.detergent,,,true,,5000000000396,Poland,840.0,g,40 %,hpc-156-a-pack_front.svg,hpc-156-a-detail.svg,WRONG_TYPE - the unit is in the cell. packaging.recyclable_pct is a number; '40 %' is a string
PRD-108,Ashcombe Antibacterial Surface Spray 750 ml,HPC-108-A-EG3,Ashcombe Antibacterial Surface Spray 750 ml,true,hpc.cleaning.surface,made-in-britain,,true,,5000000000060,United Kingdom,980.0,g,,,hpc-108-a-detail.svg,"FOREIGN_VOCABULARY - this row is fine, but a file whose header reads 'netContent' instead of 'pack.net_quantity' is rejected with the column named. Rename the column to see it"
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-B-EG4,Ashcombe Washing Up Liquid Lemon 900 ml Multipack,false,hpc.cleaning.dishwashing,,,true,,500000X000291,Turkey,290.0,g,,hpc-140-b-pack_front.svg,hpc-140-b-detail.svg,"BROKEN_FORMAT - a 13-character GTIN with a letter in it, which is what a spreadsheet export produces when the column was typed as text and edited by hand"
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-C-EG5,Ashcombe Washing Up Liquid Lemon 900 ml Large Pack,false,hpc.cleaning.dishwashing,,,true,,5000000000298,Italy,800.0,ml,85,,,"MISSING_MEDIA - image.PACK_FRONT, image.DETAIL is blank, and this category cannot launch without it"
