product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.certificate_ref | compliance.sale_permitted | health.active_ingredient | identifiers.gtin | origin.country | pack.net_quantity | pack.unit | specs.battery_type | image.PACK_FRONT | image.DETAIL | example_note
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Conformity certificate | Permitted for sale | Active ingredients | GTIN | Country of origin | Net quantity | Net quantity unit | Cell type | Image - pack_front | Image - detail | What this row demonstrates
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional; applies to health.devices.firstaid, health.devices.thermometers only | optional; safety - a person reviews any change; true or false | optional; safety - a person reviews any change; applies to health.medicines.allergy, health.medicines.cold-flu, health.medicines.pain-relief, health.supplements.minerals, and 1 more only; one entry per cell, separated by '/' | required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant | optional | optional | optional | optional; safety - a person reviews any change; applies to health.devices.firstaid, health.devices.thermometers only | required; the file name as it appears in images/ inside the bundle | required; the file name as it appears in images/ inside the bundle | ignored on the way in; delete the column or leave it
PRD-122 | Thorneley Loratadine 10 mg 30 Tablets | HEA-122-A | Thorneley Loratadine 10 mg 30 Tablets | true | health.medicines.allergy |  |  | true | Ferrous Fumarate 210 mg | 5000000000158 | China | 580.0 | g |  | hea-122-a-pack_front.svg | hea-122-a-detail.svg | 
PRD-122 | Thorneley Loratadine 10 mg 30 Tablets | HEA-122-B | Thorneley Loratadine 10 mg 30 Tablets Multipack | false | health.medicines.allergy |  |  | true | Colecalciferol 25 µg | 5000000000165 | Viet Nam | 1030.0 | ml |  | hea-122-b-pack_front.svg | hea-122-b-detail.svg | 
PRD-122 | Thorneley Loratadine 10 mg 30 Tablets | HEA-122-C | Thorneley Loratadine 10 mg 30 Tablets Large Pack | false | health.medicines.allergy | recyclable-packaging |  | true | Paracetamol 500 mg | 5000000000172 | Turkey | 100.0 | g |  | hea-122-c-pack_front.svg | hea-122-c-detail.svg | 
PRD-138 | Thorneley Cold & Flu Relief Sachets 10 Pack | HEA-138-A | Thorneley Cold & Flu Relief Sachets 10 Pack | true | health.medicines.cold-flu |  |  | true | Colecalciferol 25 µg | 5000000000270 | India | 90.0 | g |  | hea-138-a-pack_front.svg |  | 
PRD-146 | Ashcombe Vitamin D 25 µg 90 Tablets | HEA-146-A | Ashcombe Vitamin D 25 µg 90 Tablets | true | health.supplements.vitamins |  |  | true | Cetirizine Hydrochloride 10 mg | 5000000000326 | Poland | 380.0 | g |  | hea-146-a-pack_front.svg | hea-146-a-detail.svg | 
PRD-146 | Ashcombe Vitamin D 25 µg 90 Tablets | HEA-146-B | Ashcombe Vitamin D 25 µg 90 Tablets Multipack | false | health.supplements.vitamins | made-in-britain |  | true | Ibuprofen 200 mg | 5000000000333 | United Kingdom | 390.0 | g |  | hea-146-b-pack_front.svg | hea-146-b-detail.svg | 
PRD-122 | Thorneley Loratadine 10 mg 30 Tablets | HEA-122-B-EG1 | Thorneley Loratadine 10 mg 30 Tablets Multipack | false | health.medicines.allergy |  |  | true | Colecalciferol 25 µg |  | Viet Nam | 1030.0 | ml |  | hea-122-b-pack_front.svg | hea-122-b-detail.svg | MISSING_MANDATORY - identifiers.gtin is blank, and a channel refuses the listing without it
PRD-146 | Ashcombe Vitamin D 25 µg 90 Tablets | HEA-146-A-EG3 | Ashcombe Vitamin D 25 µg 90 Tablets | true | health.supplements.vitamins |  |  | true | Cetirizine Hydrochloride 10 mg | 5000000000326 | Poland | 380.0 | g |  | hea-146-a-pack_front.svg | hea-146-a-detail.svg | FOREIGN_VOCABULARY - this row is fine, but a file whose header reads 'netContent' instead of 'pack.net_quantity' is rejected with the column named. Rename the column to see it
PRD-146 | Ashcombe Vitamin D 25 µg 90 Tablets | HEA-146-A-EG4 | Ashcombe Vitamin D 25 µg 90 Tablets | true | health.supplements.vitamins |  |  | true | Cetirizine Hydrochloride 10 mg | 500000X000326 | Poland | 380.0 | g |  | hea-146-a-pack_front.svg | hea-146-a-detail.svg | BROKEN_FORMAT - a 13-character GTIN with a letter in it, which is what a spreadsheet export produces when the column was typed as text and edited by hand
PRD-146 | Ashcombe Vitamin D 25 µg 90 Tablets | HEA-146-B-EG5 | Ashcombe Vitamin D 25 µg 90 Tablets Multipack | false | health.supplements.vitamins | made-in-britain |  | true | Ibuprofen 200 mg | 5000000000333 | United Kingdom | 390.0 | g |  |  |  | MISSING_MEDIA - image.PACK_FRONT, image.DETAIL is blank, and this category cannot launch without it
