product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.fibre_g,food.ingredients,food.net_weight_g,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.INGREDIENT_PANEL,image.DETAIL,netContent,GTIN_14,internal_ref,specs.power_w
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Allergens - contains,Allergens - may contain,Fibre (g),Ingredients,Net weight (g),Country of origin,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - ingredient_panel,Image - detail,Net quantity,GTIN,internal_ref,Rated power
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to food.alcohol.beer, food.alcohol.spirits, food.alcohol.wine only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'",optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-192,Ashcombe British Skimmed Milk 4 Pint,FOO-192-A,Ashcombe British Skimmed Milk 4 Pint,true,food.dairy.milk,peanut-free | gluten-free | high-fibre,,true,milk,,7.1 ,milk,560, India,g,40,foo-192-a-pack_front.svg,foo-192-a-ingredient_panel.svg,foo-192-a-detail.svg,640.0,5000000000648,,1400
PRD-213,Ashcombe Grated Mozzarella 250 g,FOO-213-A,Ashcombe Grated Mozzarella 250 g,true,food.dairy.cheese,peanut-free | gluten-free,,true ,milk,,3.6,milk | salt | starter culture | vegetarian rennet,560,China,ml,55,foo-213-a-pack_front.svg,foo-213-a-ingredient_panel.svg,foo-213-a-detail.svg,230.0 ,5000000000795,,1400
PRD-SIL901,Silverbrook Creamy Brie,SIL-901-A,Silverbrook Creamy Brie,Yes,food.dairy.cheese,peanut-free | high-fibre,,true,gluten | egg | milk ,sesame, 6.3,oats | honey | almonds | sunflower oil | dried cranberries,112,Czechia,ml,52,sil-901-a-pack_front.svg,sil-901-a-ingredient_panel.svg,sil-901-a-detail.svg,715.0,09893125113621 ,REF-8841,
PRD-SIL901,Silverbrook Creamy Brie,SIL-901-B,Silverbrook Creamy Brie Refill,false,food.dairy.cheese,peanut-free | gluten-free | made-in-britain,,TRUE,milk,sesame,4.7,oats | honey | sugar | almonds | sunflower oil,390 g,France,g,60%,sil-901-b-pack_front.svg,sil-901-b-ingredient_panel.svg,sil-901-b-detail.svg,828.0,03552318494224,REF-8842,
PRD-SIL902,Silverbrook Whole Milk,SIL-902-A,Silverbrook Whole Milk,true,food.dairy.milk,peanut-free | gluten-free | high-fibre | recyclable-packaging,,true,gluten,nuts,3.7,wheat flour | sugar | eggs | butter | raising agent,570 ,United Kingdom,,25%,sil-902-a-pack_front.svg,sil-902-a-ingredient_panel.svg ,sil-902-a-detail.svg,918.0,09631627407644,,
PRD-SIL902,Silverbrook Whole Milk,SIL-902-B,Silverbrook Whole Milk Mini,N,food.dairy.milk,peanut-free,,true,gluten | egg | milk,sesame,7.0,wheat flour | water | yeast | salt,320 g,Spain,g,25%, sil-902-b-pack_front.svg,sil-902-b-ingredient_panel.svg,sil-902-b-detail.svg,216.0,02502263593360,,
PRD-SIL903,Silverbrook Amber Ale,SIL-903-A,Silverbrook Amber Ale,true,food.alcohol.beer,peanut-free | recyclable-packaging,,true,gluten | egg | milk,milk,7.8,rice | chicken | tomato | cream | spices,572,France,ml,60%,sil-903-a-pack_front.svg,sil-903-a-ingredient_panel.svg,sil-903-a-detail.svg,671.0,03948975093330,REF-8841,
PRD-SIL904 ,Silverbrook London Dry Gin,SIL-904-A,Silverbrook London Dry Gin,true,food.alcohol.spirits,peanut-free | high-fibre | made-in-britain,18,true ,almonds,gluten | celery,3.8g,wheat flour | sugar | eggs | butter | raising agent,562,Italy,ml,99,sil-904-a-pack_front.svg,sil-904-a-ingredient_panel.svg,sil-904-a-detail.svg,572.0,08221264129406,REF-8842,
 PRD-SIL905,Silverbrook Sauvignon Blanc,SIL-905-A,Silverbrook Sauvignon Blanc,Y,food.alcohol.wine,peanut-free ,18,true,gluten | egg | milk,sesame,7.5,milk | live cultures | sugar,592,Italy,ml,27,sil-905-a-pack_front.svg,sil-905-a-ingredient_panel.svg,sil-905-a-detail.svg,253.0,08309297912721,,
PRD-SIL906,Silverbrook Bran Flakes,SIL-906-A,Silverbrook Bran Flakes,true,food.ambient.cereals,,,true,milk,nuts,2.1,milk | live cultures | sugar,402,Italy,ml,93,sil-906-a-pack_front.svg,sil-906-a-ingredient_panel.svg,sil-906-a-detail.svg,650.0 ,02519090807892,,
