product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,identifiers.gtin,origin.country,pack.net_quantity,pack.unit,specs.battery_type,image.HERO,image.DETAIL,example_note
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,GTIN,Country of origin,Net quantity,Net quantity unit,Cell type,Image - hero,Image - detail,What this row demonstrates
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to general.diy.handtools, general.diy.paint, general.garden.bbq, general.garden.tools, and 2 more only","optional; safety - a person reviews any change; applies to general.diy.handtools only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant",optional,"optional; applies to general.diy.paint, general.pet.accessories, general.pet.dogfood only","optional; applies to general.diy.paint, general.pet.accessories, general.pet.dogfood only","optional; safety - a person reviews any change; applies to general.toys.games, general.toys.outdoor only",required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,ignored on the way in; delete the column or leave it
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-A,Draycott Garden Trampoline 8 ft,true,general.toys.outdoor,,,,true,5000000000151,Italy,,,Lithium polymer 3.8 V,gen-121-a-hero.svg,gen-121-a-detail.svg,
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-B,Draycott Garden Trampoline 8 ft Plus,false,general.toys.outdoor,,,,true,5000000000158,Italy,,,CR2032 coin cell,gen-121-b-hero.svg,gen-121-b-detail.svg,
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-C,Draycott Garden Trampoline 8 ft Max,false,general.toys.outdoor,,,,true,5000000000165,Poland,,,Lithium polymer 3.8 V,,gen-121-c-detail.svg,
PRD-129,Draycott Paddling Pool 2 m,GEN-129-A,Draycott Paddling Pool 2 m,true,general.toys.outdoor,,UKCA-2966,,true,5000000000207,Turkey,,,Lithium-ion 3.7 V 2000 mAh,gen-129-a-hero.svg,gen-129-a-detail.svg,
PRD-137,Fenwold Stainless Garden Spade,GEN-137-A,Fenwold Stainless Garden Spade,true,general.garden.tools,,EN71-3-2998,,true,5000000000263,India,,,,gen-137-a-hero.svg,gen-137-a-detail.svg,
PRD-137,Fenwold Stainless Garden Spade,GEN-137-B,Fenwold Stainless Garden Spade Plus,false,general.garden.tools,,EN71-3-2851,,true,5000000000270,Viet Nam,,,,gen-137-b-hero.svg,gen-137-b-detail.svg,
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-A-EG1,Draycott Garden Trampoline 8 ft,true,general.toys.outdoor,,,,true,,Italy,,,Lithium polymer 3.8 V,gen-121-a-hero.svg,gen-121-a-detail.svg,"MISSING_MANDATORY - identifiers.gtin is blank, and a channel refuses the listing without it"
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-B-EG3,Draycott Garden Trampoline 8 ft Plus,false,general.toys.outdoor,,,,true,5000000000158,Italy,,,CR2032 coin cell,gen-121-b-hero.svg,gen-121-b-detail.svg,"FOREIGN_VOCABULARY - this row is fine, but a file whose header reads 'netContent' instead of 'pack.net_quantity' is rejected with the column named. Rename the column to see it"
PRD-137,Fenwold Stainless Garden Spade,GEN-137-B-EG4,Fenwold Stainless Garden Spade Plus,false,general.garden.tools,,EN71-3-2851,,true,500000X000270,Viet Nam,,,,gen-137-b-hero.svg,gen-137-b-detail.svg,"BROKEN_FORMAT - a 13-character GTIN with a letter in it, which is what a spreadsheet export produces when the column was typed as text and edited by hand"
PRD-137,Fenwold Stainless Garden Spade,GEN-137-A-EG5,Fenwold Stainless Garden Spade,true,general.garden.tools,,EN71-3-2998,,true,5000000000263,India,,,,,gen-137-a-detail.svg,"MISSING_MEDIA - image.HERO is blank, and this category cannot launch without it"
