product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.certificate_ref | compliance.export_control | compliance.sale_permitted | energy.class | identifiers.gtin | origin.country | specs.battery_type | specs.plug_type | specs.power_w | image.HERO | image.DETAIL | example_note
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Conformity certificate | Export control classification | Permitted for sale | Energy class | GTIN | Country of origin | Cell type | Plug and supply | Rated power (W) | Image - hero | Image - detail | What this row demonstrates
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional | optional; safety - a person reviews any change; applies to electronics.personal.cameras, electronics.personal.drones only | optional; safety - a person reviews any change; true or false | optional; applies to electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, electronics.vision.televisions only | required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant | optional | optional; safety - a person reviews any change; applies to electronics.audio.earbuds, electronics.audio.headphones, electronics.audio.soundbars, electronics.audio.speakers, and 4 more only | optional; safety - a person reviews any change; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only | required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only; the number only, in W - never '65 W' | required; the file name as it appears in images/ inside the bundle | optional; the file name as it appears in images/ inside the bundle | ignored on the way in; delete the column or leave it
PRD-111 | Verrick 55" QLED Smart TV | ELE-111-A | Verrick 55" QLED Smart TV | true | electronics.vision.televisions |  | DOC-CE-2684 |  | true |  | 5000000000081 | Poland |  | BS 1363 Type G (fused 13 A) | 172 | ele-111-a-hero.svg | ele-111-a-detail.svg | 
PRD-111 | Verrick 55" QLED Smart TV | ELE-111-B | Verrick 55" QLED Smart TV Plus | false | electronics.vision.televisions |  | UKCA-2956 |  | true | A | 5000000000088 | China |  | BS 1363 Type G (fused 13 A) | 173 | ele-111-b-hero.svg | ele-111-b-detail.svg | 
PRD-111 | Verrick 55" QLED Smart TV | ELE-111-C | Verrick 55" QLED Smart TV Max | false | electronics.vision.televisions |  | BS-EN-2538 |  | true |  | 5000000000095 | Turkey |  | BS 1363 Type G | 199 |  | ele-111-c-detail.svg | 
PRD-143 | Lumen Portable Bluetooth Speaker | ELE-143-A | Lumen Portable Bluetooth Speaker | true | electronics.audio.speakers | low-energy | UKCA-2443 |  | true |  | 5000000000305 | China | Lithium polymer 3.8 V |  | 21 | ele-143-a-hero.svg | ele-143-a-detail.svg | 
PRD-143 | Lumen Portable Bluetooth Speaker | ELE-143-B | Lumen Portable Bluetooth Speaker Plus | false | electronics.audio.speakers |  | DOC-CE-2581 |  | true |  | 5000000000312 | India | CR2032 coin cell |  |  | ele-143-b-hero.svg | ele-143-b-detail.svg | 
PRD-151 | Lumen Waterproof Shower Speaker | ELE-151-A | Lumen Waterproof Shower Speaker | true | electronics.audio.speakers | low-energy | DOC-CE-2430 |  | true |  | 5000000000361 | India | Lithium-ion 3.7 V 2000 mAh |  | 17 | ele-151-a-hero.svg | ele-151-a-detail.svg | 
PRD-151 | Lumen Waterproof Shower Speaker | ELE-151-A-EG1 | Lumen Waterproof Shower Speaker | true | electronics.audio.speakers | low-energy | DOC-CE-2430 |  | true |  |  | India | Lithium-ion 3.7 V 2000 mAh |  | 17 | ele-151-a-hero.svg | ele-151-a-detail.svg | MISSING_MANDATORY - identifiers.gtin is blank, and a channel refuses the listing without it
PRD-143 | Lumen Portable Bluetooth Speaker | ELE-143-B-EG2 | Lumen Portable Bluetooth Speaker Plus | false | electronics.audio.speakers |  | DOC-CE-2581 |  | true |  | 5000000000312 | India | CR2032 coin cell |  | 40 W | ele-143-b-hero.svg | ele-143-b-detail.svg | WRONG_TYPE - the unit is in the cell. specs.power_w is a number; '40 W' is a string
PRD-111 | Verrick 55" QLED Smart TV | ELE-111-B-EG3 | Verrick 55" QLED Smart TV Plus | false | electronics.vision.televisions |  | UKCA-2956 |  | true | A | 5000000000088 | China |  | BS 1363 Type G (fused 13 A) | 173 | ele-111-b-hero.svg | ele-111-b-detail.svg | FOREIGN_VOCABULARY - this row is fine, but a file whose header reads 'netContent' instead of 'pack.net_quantity' is rejected with the column named. Rename the column to see it
PRD-143 | Lumen Portable Bluetooth Speaker | ELE-143-A-EG4 | Lumen Portable Bluetooth Speaker | true | electronics.audio.speakers | low-energy | UKCA-2443 |  | true |  | 500000X000305 | China | Lithium polymer 3.8 V |  | 21 | ele-143-a-hero.svg | ele-143-a-detail.svg | BROKEN_FORMAT - a 13-character GTIN with a letter in it, which is what a spreadsheet export produces when the column was typed as text and edited by hand
PRD-143 | Lumen Portable Bluetooth Speaker | ELE-143-B-EG5 | Lumen Portable Bluetooth Speaker Plus | false | electronics.audio.speakers |  | DOC-CE-2581 |  | true |  | 5000000000312 | India | CR2032 coin cell |  |  |  | ele-143-b-detail.svg | MISSING_MEDIA - image.HERO is blank, and this category cannot launch without it
