product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.export_control,compliance.sale_permitted,energy.class,specs.battery_type,specs.plug_type,specs.power_w,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,internal_ref
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Export control classification,Permitted for sale,Energy class,Cell type,Plug and supply,Rated power (W),Image - hero,Image - detail,GTIN,Country of origin,internal_ref
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'",optional,"optional; safety - a person reviews any change; applies to electronics.personal.cameras, electronics.personal.drones only",optional; safety - a person reviews any change; true or false,"optional; applies to electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, electronics.vision.televisions only","optional; safety - a person reviews any change; applies to electronics.audio.earbuds, electronics.audio.headphones, electronics.audio.soundbars, electronics.audio.speakers, and 4 more only","optional; safety - a person reviews any change; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only; the number only, in W - never '65 W'",required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-111,"Verrick 55"" QLED Smart TV",ELE-111-B,"Verrick 55"" QLED Smart TV Plus",false,electronics.vision.televisions,,UKCA-2956,,true,A,,BS 1363 Type G (fused 13 A),173,ele-111-b-hero.svg,ele-111-b-detail.svg ,5000000000088, China,
PRD-143,Lumen Portable Bluetooth Speaker,ELE-143-A,Lumen Portable Bluetooth Speaker,true,electronics.audio.speakers,low-energy,UKCA-2443,,true,,Lithium polymer 3.8 V,,,ele-143-a-hero.svg,ele-143-a-detail.svg, 5000000000305,China ,
PRD-143,Lumen Portable Bluetooth Speaker,ELE-143-B,Lumen Portable Bluetooth Speaker Plus,false,electronics.audio.speakers,,DOC-CE-2581,,true ,,CR2032 coin cell,,,ele-143-b-hero.svg,ele-143-b-detail.svg,5000000000312,India,REF-8841
PRD-151,Lumen Waterproof Shower Speaker,ELE-151-A,Lumen Waterproof Shower Speaker,true,electronics.audio.speakers,low-energy,DOC-CE-2430,,true,,Lithium-ion 3.7 V 2000 mAh,,,ele-151-a-hero.svg,ele-151-a-detail.svg,5000000000361,India,REF-8842
PRD-151,Lumen Waterproof Shower Speaker,ELE-151-B,Lumen Waterproof Shower Speaker Plus ,false,electronics.audio.speakers,low-energy | made-in-britain,DOC-CE-2461,,true ,,CR2032 coin cell,,,ele-151-b-hero.svg,ele-151-b-detail.svg ,5000000000368,United Kingdom,
PRD-111,"Verrick 55"" QLED Smart TV",ELE-111-A," Verrick 55"" QLED Smart TV",true,electronics.vision.televisions,,DOC-CE-2684,,true,B,, BS 1363 Type G (fused 13 A),N/A,ele-111-a-hero.svg,ele-111-a-detail.svg,5000000000081,Poland ,
PRD-111,"Verrick 55"" QLED Smart TV",ELE-111-C,"Verrick 55"" QLED Smart TV Max",false,electronics.vision.televisions,,BS-EN-2538,,true,A,,BS 1363 Type G,N/A,ele-111-c-hero.svg,ele-111-c-detail.svg,5000000000095,Turkey,REF-8841
PRD-151,Lumen Waterproof Shower Speaker,ELE-151-C,Lumen Waterproof Shower Speaker Max,false ,electronics.audio.speakers,,,,true,,2 x AA alkaline,,,ele-151-c-hero.svg,ele-151-c-detail.svg,5000000000375,Republic of Ireland,REF-8842
PRD-175,"Verrick 10.1"" Android Tablet 64 GB",ELE-175-A,"Verrick 10.1"" Android Tablet 64 GB ",true,electronics.computing.tablets,made-in-britain,EN71-3-2653,,true,,,BS 1363 Type G (fused 13 A) ,205,ele-175-a-hero.svg,ele-175-a-detail.svg,5000000000529,United Kingdom,
PRD-206,Quillon Slim 10000 mAh Power Bank,ELE-206-A,Quillon Slim 10000 mAh Power Bank,true,electronics.mobile.powerbanks,,,,true,,Lithium polymer 3.8 V,,,ele-206-a-hero.svg,ele-206-a-detail.svg,5000000000746,China,
PRD-183 ,Quillon Fitness Smartwatch,ELE-183-A,Quillon Fitness Smartwatch,true,electronics.mobile.smartwatches, clinically proven,DOC-CE-2529,,false,,2 x AA alkaline,,,ele-183-a-hero.svg,ele-183-a-detail.svg,5000000000585,Italy,REF-8841
PRD-206,Quillon Slim 10000 mAh Power Bank,ELE-206-B,Quillon Slim 10000 mAh Power Bank Plus,false,electronics.mobile.powerbanks,cures dry skin,BS-EN-2953,,FALSE,,2 x AA alkaline,,,ele-206-b-hero.svg,ele-206-b-detail.svg,5000000000753,Turkey,REF-8842
PRD-LUM901,Lumen Waterproof Speaker,LUM-901-A,Lumen Waterproof Speaker,true ,electronics.audio.speakers,made-in-britain,CE-2026-23605,,true,,CR2032 coin cell,,,lum-901-a-hero.svg,lum-901-a-detail.svg,02430978508196,Republic of Ireland,
PRD-LUM902,Lumen Kids Tablet,LUM-902-A,Lumen Kids Tablet,Y,electronics.computing.tablets,made-in-britain,CE-2026-34636,,true,B,,BS 1363 Type G,116,lum-902-a-hero.svg,lum-902-a-detail.svg,,China,
PRD-LUM902,Lumen Kids Tablet,LUM-902-B,Lumen Kids Tablet Classic,false,electronics.computing.tablets,low-energy | made-in-britain,CE-2025-98978,,true,B,,USB-C 5 V ,34,lum-902-b-hero.svg,lum-902-b-detail.svg,07538302452186,Vietnam,REF-8841
PRD-LUM903,Lumen Slim Power Bank,LUM-903-A,Lumen Slim Power Bank ,true,electronics.mobile.powerbanks,low-energy | made-in-britain,CE-2024-86264,,,,Lithium polymer 3.8 V,,,lum-903-a-hero.svg,lum-903-a-detail.svg,05832833299646,Italy,REF-8842 
PRD-LUM903,Lumen Slim Power Bank,LUM-903-B ,Lumen Slim Power Bank Twin Pack,N,electronics.mobile.powerbanks,low-energy | made-in-britain,CE-2024-72474,,true ,,CR2032 coin cell,,,lum-903-b-hero.svg,lum-903-b-detail.svg,07186562691487,Spain,
PRD-LUM904,Lumen Hybrid Smartwatch,LUM-904-A,Lumen Hybrid Smartwatch,true,electronics.mobile.smartwatches,low-energy | made-in-britain,CE-2024-16411,,true,,CR2032 coin cell,,,lum-904-a-hero.svg,lum-904-a-detail.svg,07529589794779,Italy,
PRD-LUM904,Lumen Hybrid Smartwatch,LUM-904-B,Lumen Hybrid Smartwatch Standard ,N,electronics.mobile.smartwatches,low-energy ,CE-2026-63116,,true,,2 x AA alkaline,,,lum-904-b-hero.svg,lum-904-b-detail.svg,09938396824452,United Kingdom,REF-8841
PRD-LUM905,Lumen 50 inch 4K TV ,LUM-905-A ,Lumen 50 inch 4K TV,true,electronics.vision.televisions,low-energy | made-in-britain ,CE-2025-57121,,true ,B,,USB-C 5 V,22,lum-905-a-hero.svg ,lum-905-a-detail.svg,04675903090906,Spain,REF-8842
PRD-LUM905,Lumen 50 inch 4K TV,LUM-905-B,Lumen 50 inch 4K TV Mini,false,electronics.vision.televisions,low-energy,CE-2025-97608,,true,A,,BS 1363 Type G (fused 13 A),19 , lum-905-b-hero.svg,lum-905-b-detail.svg,02244387273796 ,France,
PRD-LUM906,Lumen True Wireless Earbuds,LUM-906-A,Lumen True Wireless Earbuds,true,electronics.audio.earbuds,low-energy,CE-2025-13014,,true,,Lithium polymer 3.8 V,,, lum-906-a-hero.svg,lum-906-a-detail.svg,00051430530621,,
PRD-LUM906,Lumen True Wireless Earbuds,LUM-906-B ,Lumen True Wireless Earbuds Everyday,false,electronics.audio.earbuds,low-energy | made-in-britain,CE-2025-97318,,true,,Lithium-ion 3.7 V 2000 mAh,,,lum-906-b-hero.svg, lum-906-b-detail.svg,06364342252766,Netherlands,REF-8841
