product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.sale_permitted,identifiers.gtin,origin.country,textile.care_code,textile.fibre_composition,image.HERO,image.DETAIL,example_note
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Permitted for sale,GTIN,Country of origin,Care instructions,Fibre composition,Image - hero,Image - detail,What this row demonstrates
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'",optional; safety - a person reviews any change; true or false,"required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant",optional,optional,"optional; order is part of the value; do not sort; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,ignored on the way in; delete the column or leave it
PRD-101,Ashcombe Women's Long Sleeve Jersey Top,APP-101-A,Ashcombe Women's Long Sleeve Jersey Top,true,apparel.womens.tops,,true,5000000000011,Turkey,,70% Merino Wool | 30% Polyamide,app-101-a-hero.svg,,
PRD-101,Ashcombe Women's Long Sleeve Jersey Top,APP-101-B,Ashcombe Women's Long Sleeve Jersey Top Navy,false,apparel.womens.tops,made-in-britain,true,5000000000018,United Kingdom,,100% Polyester,app-101-b-hero.svg,,
PRD-101,Ashcombe Women's Long Sleeve Jersey Top,APP-101-C,Ashcombe Women's Long Sleeve Jersey Top Charcoal,false,apparel.womens.tops,,true,5000000000025,Viet Nam,30-DEL-NB-I1-P,70% Merino Wool | 30% Polyamide,app-101-c-hero.svg,app-101-c-detail.svg,
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-A,Ashcombe Women's Slim Fit Jeggings,true,apparel.womens.denim,,true,5000000000291,Viet Nam,,100% Polyester,app-141-a-hero.svg,,
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-B,Ashcombe Women's Slim Fit Jeggings Navy,false,apparel.womens.denim,,true,5000000000298,Italy,30-REG-NB-I2-W,70% Merino Wool | 30% Polyamide,app-141-b-hero.svg,app-141-b-detail.svg,
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-C,Ashcombe Women's Slim Fit Jeggings Charcoal,false,apparel.womens.denim,,true,5000000000305,India,,100% Cotton,app-141-c-hero.svg,app-141-c-detail.svg,
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-C-EG1,Ashcombe Women's Slim Fit Jeggings Charcoal,false,apparel.womens.denim,,true,,India,,100% Cotton,app-141-c-hero.svg,app-141-c-detail.svg,"MISSING_MANDATORY - identifiers.gtin is blank, and a channel refuses the listing without it"
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-A-EG3,Ashcombe Women's Slim Fit Jeggings,true,apparel.womens.denim,,true,5000000000291,Viet Nam,,100% Polyester,app-141-a-hero.svg,,"FOREIGN_VOCABULARY - this row is fine, but a file whose header reads 'netContent' instead of 'pack.net_quantity' is rejected with the column named. Rename the column to see it"
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-B-EG4,Ashcombe Women's Slim Fit Jeggings Navy,false,apparel.womens.denim,,true,500000X000298,Italy,30-REG-NB-I2-W,70% Merino Wool | 30% Polyamide,app-141-b-hero.svg,app-141-b-detail.svg,"BROKEN_FORMAT - a 13-character GTIN with a letter in it, which is what a spreadsheet export produces when the column was typed as text and edited by hand"
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-B-EG5,Ashcombe Women's Slim Fit Jeggings Navy,false,apparel.womens.denim,,true,5000000000298,Italy,30-REG-NB-I2-W,70% Merino Wool | 30% Polyamide,,,"MISSING_MEDIA - image.HERO, image.DETAIL is blank, and this category cannot launch without it"
