product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.fibre_g,food.ingredients,food.net_weight_g,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.INGREDIENT_PANEL,image.DETAIL,netContent,GTIN_14,Supplier Notes,specs.power_w
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Allergens - contains,Allergens - may contain,Fibre (g),Ingredients,Net weight (g),Country of origin,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - ingredient_panel,Image - detail,Net quantity,GTIN,Supplier Notes,Rated power
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to food.alcohol.beer, food.alcohol.spirits, food.alcohol.wine only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'",optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-05,Harrowfield Granola Clusters,HRF-GRC-300,Granola Clusters 300g,true,food.snacks.granola,high-fibre,,true ,almonds,milk,7.2,oats | honey | almonds | sunflower oil | dried cranberries,300,United Kingdom,g,90,hrf-grc-300-pack_front.svg, hrf-grc-300-ingredient_panel.svg,hrf-grc-300-detail.svg,300.0,05098765400035,,1400
PRD-02 ,Harrowfield Trail Mix Bar,HRF-TMB-6PK ,Trail Mix Bar Multipack 6x40g,false,food.snacks.bars,peanut-free | high-fibre,,true,almonds,,6.5,oats | honey | sugar | almonds | sunflower oil,240,United Kingdom,g,85,hrf-tmb-6pk-pack_front.svg,hrf-tmb-6pk-ingredient_panel.svg,hrf-tmb-6pk-detail.svg, 240.0,05098765400028,checked 02/26,1400
PRD-02,Harrowfield Trail Mix Bar,HRF-TMB-40,Trail Mix Bar 40g,true,food.snacks.bars,clinically proven,,false,almonds,,6.5,oats | honey | sugar | almonds | sunflower oil,40,United Kingdom,g,85,hrf-tmb-40-pack_front.svg,hrf-tmb-40-ingredient_panel.svg,hrf-tmb-40-detail.svg ,40.0, 05098765400011,as agreed with buying,
PRD-HAR901,Harrowfield Oat & Honey Bar,HAR-901-A,Harrowfield Oat & Honey Bar,TRUE,food.snacks.bars,peanut-free | high-fibre | recyclable-packaging,,true,gluten,milk,0.7,milk | salt | starter culture | vegetarian rennet,420 ,United Kingdom,ml,25,har-901-a-pack_front.svg,har-901-a-ingredient_panel.svg,har-901-a-detail.svg,1056.0,01202564618406,,
PRD-HAR901,Harrowfield Oat & Honey Bar,HAR-901-B,Harrowfield Oat & Honey Bar Compact,false,food.snacks.bars,high-fibre,,true,gluten,milk,7.6,milk | salt | starter culture | vegetarian rennet,282,India,g,21,har-901-b-pack_front.svg,har-901-b-ingredient_panel.svg,har-901-b-detail.svg,549.0,09201949225595,,
PRD-HAR902,Harrowfield Toasted Oat Granola ,HAR-902-A,Harrowfield Toasted Oat Granola,true,food.snacks.granola, peanut-free | gluten-free | high-fibre | recyclable-packaging,,true,gluten | milk | egg,milk,0.5,milk | live cultures | sugar,,United Kingdom,g,60%, har-902-a-pack_front.svg,har-902-a-ingredient_panel.svg,har-902-a-detail.svg,44.0,02827465488724,checked 02/26,
PRD-HAR903,Harrowfield Session IPA,HAR-903-A,Harrowfield Session IPA,true,food.alcohol.beer,high-fibre,,true,gluten | egg | milk,gluten | celery,1.7,milk | live cultures | sugar,548,Germany,ml,25%,har-903-a-pack_front.svg,har-903-a-ingredient_panel.svg,har-903-a-detail.svg,1012.0 ,06711869529123,as agreed with buying,
PRD-HAR903,Harrowfield Session IPA,HAR-903-B,Harrowfield Session IPA Premium ,No,food.alcohol.beer,high-fibre,18,true,gluten | milk | egg,sesame,2.1,wheat flour | butter | sugar | eggs | salt,422,Spain,ml,27,har-903-b-pack_front.svg,har-903-b-ingredient_panel.svg,har-903-b-detail.svg,369.0,08258518237051,,
PRD-HAR904,Harrowfield Spiced Rum, HAR-904-A,Harrowfield Spiced Rum,true,food.alcohol.spirits,peanut-free | high-fibre | made-in-britain,18,true,gluten | egg | milk,sesame,7.1,oats | honey | almonds | sunflower oil | dried cranberries,250,Germany,g,54,har-904-a-pack_front.svg,har-904-a-ingredient_panel.svg,har-904-a-detail.svg,730.0,04562956366919,,
PRD-HAR904,Harrowfield Spiced Rum,HAR-904-B,Harrowfield Spiced Rum Large Pack,false,food.alcohol.spirits,high-fibre,18,true,gluten | milk | egg, gluten | celery,1.9,wheat flour | sugar | eggs | butter | raising agent,198 ,Portugal,g, 85%,har-904-b-pack_front.svg,har-904-b-ingredient_panel.svg,har-904-b-detail.svg,910.0,09630378446507,checked 02/26,
PRD-HAR905,Harrowfield Rioja Crianza,HAR-905-A,Harrowfield Rioja Crianza,true,food.alcohol.wine,peanut-free,18,TRUE,gluten | egg | milk,gluten | celery,6.5,wheat flour | water | yeast | salt,281,France ,g, 37,har-905-a-pack_front.svg ,har-905-a-ingredient_panel.svg,har-905-a-detail.svg,90.0,03755537601907,as agreed with buying,
PRD-HAR906,Harrowfield Porridge Oats,HAR-906-A, Harrowfield Porridge Oats,true ,food.ambient.cereals,peanut-free | high-fibre,,true ,gluten,milk,,wheat flour | sugar | eggs | butter | raising agent,40,Poland,ml,31,har-906-a-pack_front.svg,har-906-a-ingredient_panel.svg,har-906-a-detail.svg,930.0,04654360217799,,
PRD-HAR906,Harrowfield Porridge Oats,HAR-906-B,Harrowfield Porridge Oats Twin Pack,false,food.ambient.cereals,peanut-free | high-fibre | recyclable-packaging,,true,almonds,gluten | celery,0.6 ,wheat flour | water | yeast | salt,489,Italy,ml,85%,har-906-b-pack_front.svg,har-906-b-ingredient_panel.svg ,har-906-b-detail.svg,400.0,01408470309488,,
