product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.fibre_g,food.ingredients,food.net_weight_g,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.INGREDIENT_PANEL,image.DETAIL,netContent,GTIN_14,Buyer,specs.power_w
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Allergens - contains,Allergens - may contain,Fibre (g),Ingredients,Net weight (g),Country of origin,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - ingredient_panel,Image - detail,Net quantity,GTIN,Buyer,Rated power
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to food.alcohol.beer, food.alcohol.spirits, food.alcohol.wine only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'",optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-152,Ashcombe Victoria Sponge Sandwich Cake,FOO-152-A,Ashcombe Victoria Sponge Sandwich Cake,true,food.bakery.cakes,peanut-free | recyclable-packaging,,true,gluten | egg | milk,nuts,4.4,wheat flour | sugar | eggs | butter | raising agent,"202,0",China,ml,95,foo-152-a-pack_front.svg ,foo-152-a-ingredient_panel.svg,foo-152-a-detail.svg,550.0,5000000000368,A. Whitfield,1400
 PRD-112,Ashcombe Milk Chocolate Digestives,FOO-112-A ,Ashcombe Milk Chocolate Digestives,true,food.bakery.biscuits,peanut-free | high-fibre | made-in-britain,,true,gluten | milk | egg,nuts,7.3,wheat flour | butter | sugar | eggs | salt,272,United Kingdom,g,30,foo-112-a-pack_front.svg,foo-112-a-ingredient_panel.svg,foo-112-a-detail.svg,840.0, 5000000000088,,1400
PRD-152,Ashcombe Victoria Sponge Sandwich Cake, FOO-152-B,Ashcombe Victoria Sponge Sandwich Cake Multipack,false,food.bakery.cakes,clinically proven,,No,gluten | egg | milk,nuts,4.8,wheat flour | sugar | eggs | butter | raising agent,450,Portugal,g,94,foo-152-b-pack_front.svg,foo-152-b-ingredient_panel.svg,foo-152-b-detail.svg,960.0,5000000000375,R. Okonjo,
PRD-COP901,Copperfield All Butter Shortbread,COP-901-A ,Copperfield All Butter Shortbread,true,food.bakery.biscuits,peanut-free | gluten-free | high-fibre,,true,gluten,nuts,4.2,rice | chicken | tomato | cream | spices,361,Vietnam,g,78 ,cop-901-a-pack_front.svg,cop-901-a-ingredient_panel.svg,cop-901-a-detail.svg,330.0,05105901653979 ,,
PRD-COP901,Copperfield All Butter Shortbread,COP-901-B,Copperfield All Butter Shortbread Premium,false,food.bakery.biscuits,peanut-free | gluten-free | high-fibre,,true,gluten,milk,9.9,milk,559,Czechia,g,95,cop-901-b-pack_front.svg, cop-901-b-ingredient_panel.svg,cop-901-b-detail.svg,880.0,01688485417384,A. Whitfield,
PRD-COP902,Copperfield Lemon Drizzle Loaf,COP-902-A,Copperfield Lemon Drizzle Loaf,true, food.bakery.cakes,peanut-free | high-fibre | recyclable-packaging,, true,almonds,nuts,0.8,wheat flour | sugar | eggs | butter | raising agent,112,Germany,g,100,cop-902-a-pack_front.svg,cop-902-a-ingredient_panel.svg,cop-902-a-detail.svg,,09357160534819,,
PRD-COP902,Copperfield Lemon Drizzle Loaf,COP-902-B,Copperfield Lemon Drizzle Loaf Classic,false,food.bakery.cakes,high-fibre,,true,gluten,sesame,7.2,wheat flour | butter | sugar | eggs | salt, 290, India,g,85%,cop-902-b-pack_front.svg,cop-902-b-ingredient_panel.svg,cop-902-b-detail.svg,990.0,02904465691931,R. Okonjo,
PRD-COP903 ,Copperfield Session IPA,COP-903-A,Copperfield Session IPA ,true,food.alcohol.beer,peanut-free | gluten-free | high-fibre,,true,milk,sesame,8.8,milk,132,France,g, 35%,cop-903-a-pack_front.svg,cop-903-a-ingredient_panel.svg,cop-903-a-detail.svg,220.0, 05358141621762,,
PRD-COP903,Copperfield Session IPA,COP-903-B,Copperfield Session IPA Compact,false,food.alcohol.beer,peanut-free | high-fibre | recyclable-packaging,18,true,milk,sesame,3.1,wheat flour | butter | sugar | eggs | salt,552,Turkey,g,41,cop-903-b-pack_front.svg,cop-903-b-ingredient_panel.svg,cop-903-b-detail.svg,720.0,06951390378118,A. Whitfield,
PRD-COP904,Copperfield Single Malt,COP-904-A,Copperfield Single Malt,true ,food.alcohol.spirits,peanut-free | gluten-free | made-in-britain,18,true,gluten, nuts,0.8,rice | chicken | tomato | cream | spices,109,Spain,g,64,cop-904-a-pack_front.svg,cop-904-a-ingredient_panel.svg,cop-904-a-detail.svg,370.0,00177932714004,,
PRD-COP904,Copperfield Single Malt,COP-904-B,Copperfield Single Malt Starter,false,food.alcohol.spirits,peanut-free | high-fibre | recyclable-packaging,18,true,almonds,sesame,6.5g,wheat flour | sugar | eggs | butter | raising agent,309,Republic of Ireland,ml,35,cop-904-b-pack_front.svg,cop-904-b-ingredient_panel.svg,cop-904-b-detail.svg,730.0,09105240346407,R. Okonjo,
PRD-COP905,Copperfield Sauvignon Blanc,COP-905-A,Copperfield Sauvignon Blanc,true,food.alcohol.wine,peanut-free | high-fibre,18,true,gluten | egg | milk,milk,0.6 ,wheat flour | water | yeast | salt,248,Turkey,ml,90,cop-905-a-pack_front.svg,cop-905-a-ingredient_panel.svg,cop-905-a-detail.svg,960.0,07820812390558,,
PRD-COP905,Copperfield Sauvignon Blanc,COP-905-B,Copperfield Sauvignon Blanc Premium, false,food.alcohol.wine,peanut-free | gluten-free | made-in-britain,18,true,gluten,sesame,5.9,milk | salt | starter culture | vegetarian rennet, 568, Germany,g,69,cop-905-b-pack_front.svg,cop-905-b-ingredient_panel.svg,cop-905-b-detail.svg,605.0,08987759255241,A. Whitfield,
PRD-COP906, Copperfield Malted Wheat Squares,COP-906-A,Copperfield Malted Wheat Squares,true,food.ambient.cereals,peanut-free | gluten-free | made-in-britain,,Y,milk,gluten | celery,7.0,,300,Czechia,ml,60%,cop-906-a-pack_front.svg,cop-906-a-ingredient_panel.svg,cop-906-a-detail.svg,40.0,03049710849119,,
PRD-COP906,Copperfield Malted Wheat Squares,COP-906-B,Copperfield Malted Wheat Squares Everyday,false,food.ambient.cereals,peanut-free | high-fibre,,true,gluten | milk | egg,nuts,1.8,milk | salt | starter culture | vegetarian rennet ,202,Spain,g ,48,cop-906-b-pack_front.svg,cop-906-b-ingredient_panel.svg,cop-906-b-detail.svg,930.0,03125323907200,R. Okonjo,
